lottery,position,year,asOf,profit,baseProfit,roi,days,dominant,dominance,switches,maxDD,unobservedDays
"หวยลาวมั่นคง","สองบน","2026","2026-09-12","-423","-323","-3.0164729373172645","255","Top","25","3","-508","0"
"หวยลาวมั่นคง","สองล่าง","2025","2025-12-31","202","602","2.8063350930814113","122","Top","100","0","-391","0"
"หวยลาวมั่นคง","สองล่าง","2026","2026-09-12","-897","1103","-6.021346579848292","255","Top+Mid","75","2","-1331","0"
"หวยลาวร่ำรวย","สองบน","2025","2025-12-31","-120","1480","-1.8404907975460123","122","Top+Mid+Bottom","50","3","-634","0"
"หวยลาวร่ำรวย","สองบน","2026","2026-09-12","183","2183","1.3639412685399122","255","Top+Mid","50","1","-912","0"
"หวยลาวร่ำรวย","สองล่าง","2025","2025-12-31","-86","314","-1.2310334955625537","122","Top+Mid","50","1","-536","0"
"หวยลาวร่ำรวย","สองล่าง","2026","2026-09-12","-777","-577","-5.722913751196877","255","Top+Bottom","75","1","-1305","0"
"หวยลาวรุ่งเรือง","สองบน","2024","2024-12-31","132","832","1.7675415104445635","153","Mid+Bottom","40","3","-681","2"
"หวยลาวรุ่งเรือง","สองบน","2025","2025-12-31","-48","1352","-0.2616088947024199","363","Top+Mid+Bottom","50","7","-856","2"
"หวยลาวรุ่งเรือง","สองบน","2026","2026-09-11","-1121","-621","-8.290806892981289","254","Top","50","3","-1445","0"
"หวยลาวรุ่งเรือง","สองล่าง","2024","2024-12-31","591","-409","7.568190549366117","153","Top+Mid","40","3","-738","2"
"หวยลาวรุ่งเรือง","สองล่าง","2025","2025-12-31","117","-483","0.594421582075903","363","Mid","33.33333333333333","7","-1135","2"
"หวยลาวรุ่งเรือง","สองล่าง","2026","2026-09-11","-436","-436","-3.344584228290887","254","Top+Mid+Bottom","37.5","6","-1134","0"
"หวยลาววังเวียง","สองบน","2024","2024-12-31","-361","-561","-4.216797103142157","153","Top+Mid","60","3","-941","2"
"หวยลาววังเวียง","สองบน","2025","2025-12-31","1912","1712","9.470972855161481","365","Top","50","2","-471","0"
"หวยลาววังเวียง","สองบน","2026","2026-09-11","-2077","423","-16.12953327638425","230","Mid","37.5","4","-2439","24"
"หวยลาววังเวียง","สองล่าง","2024","2024-12-31","-909","-1309","-10.80984659293614","153","Top","60","2","-1188","2"
"หวยลาววังเวียง","สองล่าง","2025","2025-12-31","-558","-558","-2.958956411072224","365","Top","25","4","-1664","0"
"หวยลาววังเวียง","สองล่าง","2026","2026-09-11","464","64","3.85510136257893","230","Top+Mid","62.5","4","-644","24"
"หวยลาววิลล่า","สองบน","2024","2024-12-31","-298","202","-4.258359531294656","150","Mid","40","3","-599","12"
"หวยลาววิลล่า","สองบน","2025","2025-12-31","304","1204","1.4978320851399292","358","Top+Bottom","41.66666666666667","8","-1265","7"
"หวยลาววิลล่า","สองบน","2026","2026-09-12","-143","557","-1.1973540986351838","255","Top+Mid+Bottom","50","4","-668","0"
"หวยลาววิลล่า","สองล่าง","2024","2024-12-31","-159","341","-2.3181221752442047","150","Mid+Bottom","40","3","-555","12"
"หวยลาววิลล่า","สองล่าง","2025","2025-12-31","-316","-216","-1.6883949561872194","358","Bottom","41.66666666666667","8","-1571","7"
"หวยลาววิลล่า","สองล่าง","2026","2026-09-12","967","1667","7.307488853623517","255","Bottom","75","1","-643","0"
"หวยลาวสตาร์","สองบน","2024","2024-12-31","2116","216","11.447738584721922","366","Top","41.66666666666667","4","-552","0"
"หวยลาวสตาร์","สองบน","2025","2025-12-31","-39","1361","-0.22110096944271215","364","Top","58.333333333333336","7","-676","1"
"หวยลาวสตาร์","สองบน","2026","2026-09-12","462","262","3.438011608870368","255","Bottom","75","3","-712","0"
"หวยลาวสตาร์","สองล่าง","2024","2024-12-31","-1493","7","-7.90239771343884","366","Top+Mid","33.33333333333333","6","-2612","0"
"หวยลาวสตาร์","สองล่าง","2025","2025-12-31","-775","-775","-3.730445246690734","364","Mid","58.333333333333336","5","-1573","1"
"หวยลาวสตาร์","สองล่าง","2026","2026-09-12","1478","1478","11.617670177645024","255","Top+Bottom","50","4","-593","0"
"หวยลาวสตาร์ VIP","สองบน","2024","2024-12-31","-992","-1092","-5.168820341809087","365","Top","41.66666666666667","7","-1324","1"
"หวยลาวสตาร์ VIP","สองบน","2025","2025-12-31","533","1033","2.616978445524623","365","Top+Bottom","50","4","-866","0"
"หวยลาวสตาร์ VIP","สองบน","2026","2026-09-11","-1390","-390","-9.727081875437369","254","Top+Mid","37.5","4","-1710","0"
